Авторы,Идентификатор автора(ов),Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Ссылка,Организации,Авторы организаций,Тип документа,Источник,EID
"Beketova T.V.","7003535611;","SUSAC SYNDROME: THE EFFECTIVENESS OF RITUXIMAB MONOTHERAPY [Синдром Сусака: эффективность монотерапии ритуксимабом]",2023,"Nauchno-Prakticheskaya Revmatologiya","61","3",,"385","388",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167415945&doi=10.47360%2f1995-4484-2023-385-388&partnerID=40&md5=190709f5298b7c1a321297884d980b76","Central State Medical Academy of the Administrative Directorate of the President of the Russian Federation, Marshala Timoshenko str., 19, building 1A, Moscow, 121359, Russian Federation; V.A. Nasonova Research Institute of Rheumatology, Kashirskoye Highway, 34A, Moscow, 115522, Russian Federation; Moscow Polytechnic University, Bolshaya Semyonovskaya str., 38, Moscow, 107023, Russian Federation","Beketova, T.V., Central State Medical Academy of the Administrative Directorate of the President of the Russian Federation, Marshala Timoshenko str., 19, building 1A, Moscow, 121359, Russian Federation, V.A. Nasonova Research Institute of Rheumatology, Kashirskoye Highway, 34A, Moscow, 115522, Russian Federation, Moscow Polytechnic University, Bolshaya Semyonovskaya str., 38, Moscow, 107023, Russian Federation",Article,Scopus,2-s2.0-85167415945
"Pavlenko M.V., Merzlyakov V.G., Sinitskaya E.V., Florova I.A., Adigamov D.A.","57206668639;58313079100;58528862500;57429599300;58115476600;","THE ROLE OF VIBRATION IMPACT IN FRACTURING AND GAS RECOVERY FROM A LOW-PERMEABILITY COAL SEAM [Роль вибрационного воздействия в трещинообразовании и газоотдаче из низкопроницаемого угольного пласта]",2023,"Ugol",,"5",,"37","40",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167408582&doi=10.18796%2f0041-5790-2023-5-37-40&partnerID=40&md5=1c3ff62aef10e7abda91947191b5b510","Federal National Independent Educational Institution of Higher Education “National University of Science and Technology MISIS” (NUST MISIS), Russian Federation; FGAOU VO Moscow Polytechnic University, Moscow, 107023, Russian Federation; FGBOU VO “Samara state economic University, Samara, 443090, Russian Federation","Pavlenko, M.V., Federal National Independent Educational Institution of Higher Education “National University of Science and Technology MISIS” (NUST MISIS), Russian Federation; Merzlyakov, V.G., FGAOU VO Moscow Polytechnic University, Moscow, 107023, Russian Federation; Sinitskaya, E.V., Federal National Independent Educational Institution of Higher Education “National University of Science and Technology MISIS” (NUST MISIS), Russian Federation; Florova, I.A., Federal National Independent Educational Institution of Higher Education “National University of Science and Technology MISIS” (NUST MISIS), Russian Federation; Adigamov, D.A., FGBOU VO “Samara state economic University, Samara, 443090, Russian Federation",Article,Scopus,2-s2.0-85167408582
"Raspopova S., Simakova S.","57434917700;57226104804;","Legal Regulation of the Internet Around Post-Soviet Space",2023,"Societies and Political Orders in Transition","Part F834",,,"47","70",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166657612&doi=10.1007%2f978-3-031-32507-6_3&partnerID=40&md5=f65fa9b034351906a8ffff9844fe8bf6","Moscow Polytechnic University, Moscow, Russian Federation; Chelyabinsk State University, Chelyabinsk, Russian Federation","Raspopova, S., Moscow Polytechnic University, Moscow, Russian Federation; Simakova, S., Chelyabinsk State University, Chelyabinsk, Russian Federation",Book Chapter,Scopus,2-s2.0-85166657612
"Klimov A.V.","57218166154;","Synthesis of an adaptive observer of the resistance torque at a shaft of a traction electric motor",2023,"Tractors and Agricultural Machinery","90","2",,"99","105",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166308391&doi=10.17816%2f0321-4443-119856&partnerID=40&md5=9968e094d9af426601aebd338c0772dc","KAMAZ Innovation Center, Skolkovo Innovation Center, Moscow, Russian Federation; Moscow Polytechnic University, Moscow, Russian Federation","Klimov, A.V., KAMAZ Innovation Center, Skolkovo Innovation Center, Moscow, Russian Federation, Moscow Polytechnic University, Moscow, Russian Federation",Article,Scopus,2-s2.0-85166308391
"Polevoy G., Fuentes-Barría H., Aguilera-Eguía R.","57204190389;7801441851;30867480100;","Effect of a program adapted the ""Hopscotch"" on the sense of rhythm in the movements of russian children. Quasi-experimental study [Efecto de un programa adaptado de ""Rayuela"" sobre el sentido del ritmo en los movimientos de niños rusos. Estudio cuasi-experimental]",2023,"Retos","49",,,"813","816",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166208227&doi=10.47197%2fRETOS.V49.99133&partnerID=40&md5=f6911f32d9fc80939d6ed6d29001e214","Moscow Polytechnic University, Russian Federation; Universidad Andres Bello, Chile; Universidad Central de Chile, Chile; Universidad Católica de la Santísima Concepción, Chile","Polevoy, G., Moscow Polytechnic University, Russian Federation; Fuentes-Barría, H., Universidad Andres Bello, Chile, Universidad Central de Chile, Chile; Aguilera-Eguía, R., Universidad Católica de la Santísima Concepción, Chile",Article,Scopus,2-s2.0-85166208227
"Maltсeva O.V., Nikitin K.S., Kazak A.V., Mamardashvili N.Zh., Usol’tseva N.V.","58509430600;57195554161;57209682509;6701352095;57221993414;","SENSING ABILITY OF Zn-TETRAPHENYLPORPHYRIN LANGMUIR-SCHAEFER FILMS",2023,"Zhidkie Kristally i Ikh Prakticheskoe Ispol'zovanie","23","2",,"29","37",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165979103&doi=10.18083%2fLCAppl.2023.2.29&partnerID=40&md5=a63458f9335b174c053919403e2ce021","G. A. Krestov Institute of Solution Chemistry of the Russian Academy of Sciences, Ivanovo, Russian Federation; Nanomaterials Research Institute, Ivanovo State University, Ivanovo, Russian Federation; Moscow Polytechnic University, Moscow, Russian Federation","Maltсeva, O.V., G. A. Krestov Institute of Solution Chemistry of the Russian Academy of Sciences, Ivanovo, Russian Federation; Nikitin, K.S., G. A. Krestov Institute of Solution Chemistry of the Russian Academy of Sciences, Ivanovo, Russian Federation; Kazak, A.V., Nanomaterials Research Institute, Ivanovo State University, Ivanovo, Russian Federation, Moscow Polytechnic University, Moscow, Russian Federation; Mamardashvili, N.Zh., G. A. Krestov Institute of Solution Chemistry of the Russian Academy of Sciences, Ivanovo, Russian Federation; Usol’tseva, N.V., Nanomaterials Research Institute, Ivanovo State University, Ivanovo, Russian Federation",Article,Scopus,2-s2.0-85165979103
"Sednev V.A., Kopnyshev S.L., Klyuev R.V.","57218871873;57218869919;57194206632;","Experimental Assessment and Justification of Measures to Ensure the Safety and Sustainability of the Functioning of Critical Elements of Hydraulic Structures",2023,"Bezopasnost' Truda v Promyshlennosti","2023","6",,"73","80",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165930879&doi=10.24000%2f0409-2961-2023-6-73-80&partnerID=40&md5=372ecfa58526d85a21588192924e543e","State Fire Academy of EMERCOM of Russia, Moscow, Russian Federation; Moscow Polytechnic University, Moscow, Russian Federation","Sednev, V.A., State Fire Academy of EMERCOM of Russia, Moscow, Russian Federation; Kopnyshev, S.L., State Fire Academy of EMERCOM of Russia, Moscow, Russian Federation; Klyuev, R.V., Moscow Polytechnic University, Moscow, Russian Federation",Article,Scopus,2-s2.0-85165930879
"Golik V.I., Alekseev I.A.","6602135324;55968765700;","Metal leaching from low-grade raw materials in North Ossetia–Alania [ВЫЩЕЛАЧИВАНИЕ МЕТАЛЛОВ ИЗ НЕКОНДИЦИОННОГО СЫРЬЯ В СЕВЕРНОЙ ОСЕТИИ–АЛАНИИ]",2023,"Mining Informational and Analytical Bulletin",,"1-5",,"135","144",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165305975&doi=10.25018%2f0236_1493_2023_51_0_135&partnerID=40&md5=90ec220bbd558a27a1b133d293af3431","Moscow Polytechnic University, Moscow, Russian Federation; North Caucasian Institute of Mining and Metallurgy (State Technological University), Vladikavkaz, Russian Federation","Golik, V.I., Moscow Polytechnic University, Moscow, Russian Federation; Alekseev, I.A., North Caucasian Institute of Mining and Metallurgy (State Technological University), Vladikavkaz, Russian Federation",Article,Scopus,2-s2.0-85165305975
"Golik V.I., Alekseev I.A.","6602135324;55968765700;","Mechanochemical activation of processing tailings to manufacture components for cemented backfill [МЕХАНОХИМИЧЕСКАЯ АКТИВАЦИЯ ХВОСТОВ ОБОГАЩЕНИЯ ДЛЯ ИСПОЛЬЗОВАНИЯ В КАЧЕСТВЕ КОМПОНЕНТОВ ТВЕРДЕЮЩИХ ЗАКЛАДОЧНЫХ СМЕСЕЙ]",2023,"Mining Informational and Analytical Bulletin",,"1-5",,"5","16",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165265942&doi=10.25018%2f0236_1493_2023_51_0_5&partnerID=40&md5=ac2c2f04f56e49590300e2005a6a3332","Moscow Polytechnic University, Moscow, Russian Federation; North Caucasian Institute of Mining and Metallurgy (State Technological University), Vladikavkaz, Russian Federation","Golik, V.I., Moscow Polytechnic University, Moscow, Russian Federation; Alekseev, I.A., North Caucasian Institute of Mining and Metallurgy (State Technological University), Vladikavkaz, Russian Federation",Article,Scopus,2-s2.0-85165265942
"Golik V.I., Alekseev I.A.","6602135324;55968765700;","Usage of rock structures in underground mining of hard-rock mineral deposits [ИСПОЛЬЗОВАНИЕ ПОРОДНЫХ КОНСТРУКЦИЙ ПРИ ПОДЗЕМНОЙ РАЗРАБОТКЕ СКАЛЬНЫХ МЕСТОРОЖДЕНИЙ]",2023,"Mining Informational and Analytical Bulletin",,"5",,"57","67",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165240144&doi=10.25018%2f0236_1493_2023_5_0_57&partnerID=40&md5=f5aeb77689feed8fa8c6385f027afd71","Moscow Polytechnic University, Moscow, Russian Federation; North Caucasian Institute of Mining and Metallurgy (State Technological University), Vladikavkaz, Russian Federation","Golik, V.I., Moscow Polytechnic University, Moscow, Russian Federation; Alekseev, I.A., North Caucasian Institute of Mining and Metallurgy (State Technological University), Vladikavkaz, Russian Federation",Article,Scopus,2-s2.0-85165240144
"Ozturk M., Kokorina Y.G., Vagabov M.M.","57916695500;57219245095;57196262691;","PARAMETRIC ANALYSIS OF V.O. KLYUCHEVSKY’S WORK “TERMINOLOGY OF RUSSIAN HISTORY” [ПАРАМЕТРИЧЕСКИЙ АНАЛИЗ РАБОТЫ В.О. КЛЮЧЕВСКОГО «ТЕРМИНОЛОГИЯ РУССКОЙ ИСТОРИИ»]",2023,"Vestnik Volgogradskogo Gosudarstvennogo Universiteta, Seriia 4: Istoriia, Regionovedenie, Mezhdunarodnye Otnosheniia","28","2",,"159","171",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164830490&doi=10.15688%2fjvolsu4.2023.2.14&partnerID=40&md5=ef5767cbcf34d20885c5d4291fe4c51b","Sciences (History), Department of International Relations, Akdeniz University, Dumlupınar Blv., Antalya, 07058, Turkey; Sciences (History), Philology, Department of Humanities, Moscow Polytechnic University, Bolshaya Semenovskaya St, 38, Moscow, 107023, Russian Federation; Sciences (History), Department of Humanities, Moscow Polytechnic University, Bolshaya Semenovskaya St, 38, Moscow, 107023, Russian Federation","Ozturk, M., Sciences (History), Department of International Relations, Akdeniz University, Dumlupınar Blv., Antalya, 07058, Turkey; Kokorina, Y.G., Sciences (History), Philology, Department of Humanities, Moscow Polytechnic University, Bolshaya Semenovskaya St, 38, Moscow, 107023, Russian Federation; Vagabov, M.M., Sciences (History), Department of Humanities, Moscow Polytechnic University, Bolshaya Semenovskaya St, 38, Moscow, 107023, Russian Federation",Article,Scopus,2-s2.0-85164830490
"Yarovaya O.V., Averina Yu.M., Magzhanov R.Kh., Karetkin B.A., Panfilov V.I., Boldyrev V.S.","36897189300;58486746000;57226662077;57188931124;56810848900;55480119700;","STUDY OF THE SYNTHESIS PROCESS AND PROPERTIES OF THE VANADIUM PENTOXIDE NANOPARTICLES [ИССЛЕДОВАНИЕ ПРОЦЕССА СИНТЕЗА И СВОЙСТВ НАНОЧАСТИЦ ПЕНТАОКСИДА ВАНАДИЯ]",2023,"Herald of the Bauman Moscow State Technical University, Series Natural Sciences","107","2",,"126","129",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164733476&doi=10.18698%2f1812-3368-2023-2-126-139&partnerID=40&md5=fd8df49b11ec12b4790b4a456855c5a9","Department of Colloid Chemistry, Mendeleev University of Chemical Technology of Russia, Miusskaya ploshchad 9, Moscow, 125047, Russian Federation; Department of Innovative Materials and Corrosion Protection, Mendeleev University of Chemical Technology of Russia, Miusskaya ploshchad 9, Moscow, 125047, Russian Federation; Department of Chemistry and Biotechnology, Moscow Polytechnic University, Bolshaya Semyonovskaya ul. 38, Moscow, 107023, Russian Federation; Department of Biotechnology, Mendeleev University of Chemical Technology of Russia, Miusskaya ploshchad 9, Moscow, 125047, Russian Federation; Department of Engineering of Chemical and Technological Systems, Engineering Center Automation and Robotics, Bauman Moscow State Technical University, 2-ya Baumanskaya ul. 5, str. 1, Moscow, 105005, Russian Federation; Faculty of Digital Technology and Chemical Engineering, Mendeleev University of Chemical Technology of Russia, Miusskaya ploshchad 9, Moscow, 125047, Russian Federation; Research Institute, NPO “Lakokraspokrytie”, Khudozhestvennyy proezd 2e, Moscow Region, Khotkovo, 141370, Russian Federation","Yarovaya, O.V., Department of Colloid Chemistry, Mendeleev University of Chemical Technology of Russia, Miusskaya ploshchad 9, Moscow, 125047, Russian Federation; Averina, Yu.M., Department of Innovative Materials and Corrosion Protection, Mendeleev University of Chemical Technology of Russia, Miusskaya ploshchad 9, Moscow, 125047, Russian Federation; Magzhanov, R.Kh., Department of Chemistry and Biotechnology, Moscow Polytechnic University, Bolshaya Semyonovskaya ul. 38, Moscow, 107023, Russian Federation; Karetkin, B.A., Department of Biotechnology, Mendeleev University of Chemical Technology of Russia, Miusskaya ploshchad 9, Moscow, 125047, Russian Federation; Panfilov, V.I., Department of Biotechnology, Mendeleev University of Chemical Technology of Russia, Miusskaya ploshchad 9, Moscow, 125047, Russian Federation; Boldyrev, V.S., Department of Engineering of Chemical and Technological Systems, Engineering Center Automation and Robotics, Bauman Moscow State Technical University, 2-ya Baumanskaya ul. 5, str. 1, Moscow, 105005, Russian Federation, Faculty of Digital Technology and Chemical Engineering, Mendeleev University of Chemical Technology of Russia, Miusskaya ploshchad 9, Moscow, 125047, Russian Federation, Research Institute, NPO “Lakokraspokrytie”, Khudozhestvennyy proezd 2e, Moscow Region, Khotkovo, 141370, Russian Federation",Article,Scopus,2-s2.0-85164733476
